"id_muni2015","name_muni2015_en","name_muni2015_jp","totalpop1980","totalpop1985","totalpop1990","totalpop1995","totalpop2000","totalpop2005","totalpop2010","totalpop2015","totalpop2020"
"37203","Sakaide-shi, Kagawa","香川県 坂出市","66290","66087","63876","61351","59228","57266","55621","53164","50624"
"37204","Zentsuji-shi, Kagawa","香川県 善通寺市","38080","38630","38423","37361","36413","35495","33817","32927","31631"
"37205","Kanonji-shi, Kagawa","香川県 観音寺市","68435","69308","68436","67542","66555","65226","62690","59409","57438"
"37206","Sanuki-shi, Kagawa","香川県 さぬき市","55576","57152","57604","58390","57772","55754","53000","50272","47003"
"37207","Higashikagawa-shi, Kagawa","香川県 東かがわ市","43110","42446","40875","39226","37760","35929","33625","31031","28279"
"37208","Mitoyo-shi, Kagawa","香川県 三豊市","77939","78282","77284","75845","73494","71180","68512","65524","61857"
"37322","Tonosho-cho, Shozu-gun, Kagawa","香川県 小豆郡 土庄町","21398","20752","20191","19074","17711","16411","15123","14002","12846"
"37324","Shodoshima-cho, Shozu-gun, Kagawa","香川県 小豆郡 小豆島町","22170","21433","20455","19700","18303","17257","16152","14862","13870"
"37341","Miki-cho, Kita-gun, Kagawa","香川県 木田郡 三木町","24989","26021","26966","27766","28769","28790","28464","27684","26878"
"37364","Naoshima-cho, Kagawa-gun, Kagawa","香川県 香川郡 直島町","5302","5034","4671","4162","3705","3538","3325","3139","3103"
"37386","Utazu-cho, Ayauta-gun, Kagawa","香川県 綾歌郡 宇多津町","11341","11864","12807","14928","15978","17460","18434","18952","18699"
"37387","Ayagawa-cho, Ayauta-gun, Kagawa","香川県 綾歌郡 綾川町","24017","24644","24509","25421","26205","25628","24625","23610","22693"
"37403","Kotohira-cho, Nakatado-gun, Kagawa","香川県 仲多度郡 琴平町","13807","13323","12632","12002","11335","10747","9967","9186","8468"
"37404","Tadotsu-cho, Nakatado-gun, Kagawa","香川県 仲多度郡 多度津町","22965","23870","24080","23749","23657","23613","23498","23366","22445"
"37406","Mannou-cho, Nakatado-gun, Kagawa","香川県 仲多度郡 まんのう町","23049","23075","22497","21756","20969","19896","19087","18377","17401"
"38201","Matsuyama-shi, Ehime","愛媛県 松山市","442147","466354","480854","497203","508266","514937","517231","514865","511192"
"38202","Imabari-shi, Ehime","愛媛県 今治市","197818","197774","191504","185435","180627","173983","166532","158114","151672"
"38203","Uwajima-shi, Ehime","愛媛県 宇和島市","110920","110194","105030","100776","95641","89444","84210","77465","70809"
"38204","Yawatahama-shi, Ehime","愛媛県 八幡浜市","55757","53622","50271","47410","44206","41264","38370","34951","31987"
"38205","Niihama-shi, Ehime","愛媛県 新居浜市","132736","132540","129467","128236","125814","123952","121735","119903","115938"
"38206","Saijo-shi, Ehime","愛媛県 西条市","112961","115983","115251","114706","114548","113371","112091","108174","104791"
"38207","Ozu-shi, Ehime","愛媛県 大洲市","57014","57263","55766","53850","52762","50786","47157","44086","40575"
"38210","Iyo-shi, Ehime","愛媛県 伊予市","42842","42306","41516","41064","40505","39493","38017","36827","35133"
